date,close
2024-01-02,183.56
2024-01-03,182.19
2024-01-04,179.87
2024-01-05,179.15
2024-01-08,183.48
2024-01-09,183.07
2024-01-10,184.11
2024-01-11,183.51
2024-01-12,183.84
2024-01-16,181.57
2024-01-17,180.64
2024-01-18,186.52
2024-01-19,189.42
2024-01-22,191.72
2024-01-23,193.00
2024-01-24,192.32
2024-01-25,192.00
2024-01-26,190.27
2024-01-29,189.58
2024-01-30,185.94
2024-01-31,182.34
2024-02-01,184.77
2024-02-02,183.77
2024-02-05,185.58
2024-02-06,187.18
2024-02-07,187.29
2024-02-08,186.21
2024-02-09,186.97
2024-02-12,185.29
2024-02-13,183.20
2024-02-14,182.32
2024-02-15,182.03
2024-02-16,180.50
2024-02-20,179.76
2024-02-21,180.51
2024-02-22,182.54
2024-02-23,180.71
2024-02-26,179.36
2024-02-27,180.82
2024-02-28,179.62
2024-02-29,178.95
2024-03-01,177.88
2024-03-04,173.36
2024-03-05,168.43
2024-03-06,167.44
2024-03-07,167.32
2024-03-08,169.03
2024-03-11,171.03
2024-03-12,171.51
2024-03-13,169.43
2024-03-14,171.28
2024-03-15,170.91
2024-03-18,171.99
2024-03-19,174.33
2024-03-20,176.90
2024-03-21,169.67
2024-03-22,170.57
2024-03-25,169.15
2024-03-26,168.02
2024-03-27,171.59
2024-03-28,169.78
2024-04-01,168.34
2024-04-02,167.16
2024-04-03,167.97
2024-04-04,167.14
2024-04-05,167.90
2024-04-08,166.78
2024-04-09,167.99
2024-04-10,166.11
2024-04-11,173.30
2024-04-12,174.80
2024-04-15,170.98
2024-04-16,167.70
2024-04-17,166.33
2024-04-18,165.38
2024-04-19,163.36
2024-04-22,164.19
2024-04-23,165.24
2024-04-24,167.34
2024-04-25,168.20
2024-04-26,167.62
2024-04-29,171.78
2024-04-30,168.64
2024-05-01,167.62
2024-05-02,171.31
2024-05-03,181.56
2024-05-06,179.91
2024-05-07,180.59
2024-05-08,180.93
2024-05-09,182.74
2024-05-10,181.48
2024-05-13,184.68
2024-05-14,185.82
2024-05-15,188.09
2024-05-16,188.21
2024-05-17,188.24
2024-05-20,189.40
2024-05-21,190.70
2024-05-22,189.26
2024-05-23,185.28
2024-05-24,188.35
2024-05-28,188.36
2024-05-29,188.66
2024-05-30,189.65
2024-05-31,190.60
2024-06-03,192.36
2024-06-04,192.68
2024-06-05,194.19
2024-06-06,192.81
2024-06-07,195.20
2024-06-10,191.46
2024-06-11,205.37
2024-06-12,211.24
2024-06-13,212.40
2024-06-14,210.67
2024-06-17,214.81
2024-06-18,212.45
2024-06-20,207.88
2024-06-21,205.71
2024-06-24,206.35
2024-06-25,207.27
2024-06-26,211.42
2024-06-27,212.26
2024-06-28,208.81
2024-07-01,214.89
2024-07-02,218.38
2024-07-03,219.65
2024-07-05,224.40
2024-07-08,225.86
2024-07-09,226.72
2024-07-10,230.98
2024-07-11,225.62
2024-07-12,228.56
2024-07-15,232.39
2024-07-16,232.80
2024-07-17,226.91
2024-07-18,222.25
2024-07-19,222.38
2024-07-22,222.04
2024-07-23,223.08
2024-07-24,216.66
2024-07-25,215.62
2024-07-26,216.09
2024-07-29,216.37
2024-07-30,216.92
2024-07-31,220.17
2024-08-01,216.48
2024-08-02,217.97
2024-08-05,207.47
2024-08-06,205.45
2024-08-07,208.02
2024-08-08,211.48
2024-08-09,214.38
2024-08-12,215.91
2024-08-13,219.62
2024-08-14,220.07
2024-08-15,223.05
2024-08-16,224.37
2024-08-19,224.21
2024-08-20,224.82
2024-08-21,224.72
2024-08-22,222.86
2024-08-23,225.15
2024-08-26,225.49
2024-08-27,226.33
2024-08-28,224.80
2024-08-29,228.08
2024-08-30,227.30
2024-09-03,221.11
2024-09-04,219.21
2024-09-05,220.73
2024-09-06,219.18
2024-09-09,219.27
2024-09-10,218.47
2024-09-11,221.00
2024-09-12,221.11
2024-09-13,220.84
2024-09-16,214.71
2024-09-17,215.18
2024-09-18,219.05
2024-09-19,227.17
2024-09-20,226.50
2024-09-23,224.78
2024-09-24,225.68
2024-09-25,224.69
2024-09-26,225.83
2024-09-27,226.10
2024-09-30,231.27
2024-10-01,224.53
2024-10-02,225.09
2024-10-03,223.99
2024-10-04,225.11
2024-10-07,220.04
2024-10-08,224.09
2024-10-09,227.83
2024-10-10,227.34
2024-10-11,225.86
2024-10-14,229.58
2024-10-15,232.11
2024-10-16,230.06
2024-10-17,230.42
2024-10-18,233.25
2024-10-21,234.72
2024-10-22,234.11
2024-10-23,229.04
2024-10-24,228.85
2024-10-25,229.69
2024-10-28,231.66
2024-10-29,231.93
2024-10-30,228.39
2024-10-31,224.23
2024-11-01,221.25
2024-11-04,220.36
2024-11-05,221.79
2024-11-06,221.06
2024-11-07,225.79
2024-11-08,225.52
2024-11-11,222.81
2024-11-12,222.81
2024-11-13,223.69
2024-11-14,226.77
2024-11-15,223.57
2024-11-18,226.57
2024-11-19,226.83
2024-11-20,227.55
2024-11-21,227.07
2024-11-22,228.41
2024-11-25,231.39
2024-11-26,233.57
2024-11-27,233.44
2024-11-29,235.82
2024-12-02,238.07
2024-12-03,241.11
2024-12-04,241.47
2024-12-05,241.50
2024-12-06,241.30
2024-12-09,245.18
2024-12-10,246.20
2024-12-11,244.93
2024-12-12,246.39
2024-12-13,246.55
2024-12-16,249.45
2024-12-17,251.87
2024-12-18,246.48
2024-12-19,248.20
2024-12-20,252.87
2024-12-23,253.65
2024-12-24,256.56
2024-12-26,257.38
2024-12-27,253.97
2024-12-30,250.60
2024-12-31,248.83
