price,area,rooms,built,type,town,zip,centre_km,sold,quarter,date,lat,lon
7995000,222,5,2012,villa,Højbjerg,8270,5.7,2021,2021Q1,2021-01-01,56.107,10.186
4190000,191,5,2009,villa,Lystrup,8520,9.2,2021,2021Q1,2021-01-01,56.239,10.193
3000000,171,5,1980,villa,Egå,8250,6.6,2021,2021Q1,2021-01-01,56.207,10.267
1500000,160,5,2021,villa,Malling,8340,14.8,2021,2021Q1,2021-01-03,56.024,10.185
2200000,84,4,1981,townhouse,Aarhus V,8210,3.6,2021,2021Q1,2021-01-03,56.171,10.158
6495000,261,8,1975,villa,Egå,8250,8.1,2021,2021Q1,2021-01-03,56.216,10.285
3660000,126,4,2016,townhouse,Egå,8250,6.4,2021,2021Q1,2021-01-04,56.207,10.261
6700000,153,6,1961,villa,Højbjerg,8270,4.7,2021,2021Q1,2021-01-04,56.115,10.216
4870000,157,6,1954,villa,Aarhus V,8210,3.1,2021,2021Q1,2021-01-05,56.171,10.167
4950000,121,5,1906,villa,Viby J,8260,3.0,2021,2021Q1,2021-01-05,56.139,10.175
4498000,100,3,1920,townhouse,Aarhus C,8000,0.5,2021,2021Q1,2021-01-05,56.159,10.205
3350000,180,5,1973,villa,Brabrand,8220,7.8,2021,2021Q1,2021-01-05,56.153,10.084
2225000,82,4,1982,townhouse,Viby J,8260,5.9,2021,2021Q1,2021-01-05,56.126,10.133
3740000,170,6,1970,villa,Lystrup,8520,9.0,2021,2021Q1,2021-01-05,56.236,10.243
3795000,169,6,1972,villa,Mårslet,8320,7.3,2021,2021Q1,2021-01-05,56.092,10.192
4425000,114,5,1939,villa,Risskov,8240,3.2,2021,2021Q1,2021-01-05,56.185,10.217
3165000,145,5,1975,villa,Tilst,8381,7.1,2021,2021Q1,2021-01-06,56.176,10.101
7998000,178,5,2020,townhouse,Aarhus C,8000,1.0,2021,2021Q1,2021-01-06,56.159,10.195
6075000,214,6,2022,villa,Højbjerg,8270,4.0,2021,2021Q1,2021-01-06,56.122,10.198
850000,170,4,2022,villa,Sabro,8471,16.5,2021,2021Q1,2021-01-06,56.225,9.973
4650000,140,4,1964,villa,Risskov,8240,6.3,2021,2021Q1,2021-01-06,56.202,10.272
4300000,191,6,1995,villa,Mårslet,8320,10.0,2021,2021Q1,2021-01-07,56.07,10.17
