time,date,hour,weekday,weekend,price,wind,solar
2022-01-01 00:00,2022-01-01,0,5,1,372.2,1623.2,0.0
2022-01-01 01:00,2022-01-01,1,5,1,307.35,1669.7,0.0
2022-01-01 02:00,2022-01-01,2,5,1,321.41,1622.7,0.0
2022-01-01 03:00,2022-01-01,3,5,1,338.06,1363.0,0.0
2022-01-01 04:00,2022-01-01,4,5,1,280.13,1163.0,0.0
2022-01-01 05:00,2022-01-01,5,5,1,295.23,854.0,0.0
2022-01-01 06:00,2022-01-01,6,5,1,301.85,645.4,0.0
2022-01-01 07:00,2022-01-01,7,5,1,321.7,499.1,0.0
2022-01-01 08:00,2022-01-01,8,5,1,369.3,383.7,0.1
2022-01-01 09:00,2022-01-01,9,5,1,520.93,285.2,4.5
2022-01-01 10:00,2022-01-01,10,5,1,571.05,230.2,17.3
2022-01-01 11:00,2022-01-01,11,5,1,625.41,246.9,32.2
2022-01-01 12:00,2022-01-01,12,5,1,704.53,374.9,34.4
2022-01-01 13:00,2022-01-01,13,5,1,719.85,600.7,25.0
2022-01-01 14:00,2022-01-01,14,5,1,722.6,863.1,11.1
2022-01-01 15:00,2022-01-01,15,5,1,753.09,1196.6,2.1
2022-01-01 16:00,2022-01-01,16,5,1,941.46,1570.0,0.0
2022-01-01 17:00,2022-01-01,17,5,1,1115.25,2089.8,0.0
2022-01-01 18:00,2022-01-01,18,5,1,1088.18,2589.6,0.0
2022-01-01 19:00,2022-01-01,19,5,1,1043.19,2870.8,0.0
2022-01-01 20:00,2022-01-01,20,5,1,906.36,3013.7,0.0
2022-01-01 21:00,2022-01-01,21,5,1,763.06,2982.9,0.0
2022-01-01 22:00,2022-01-01,22,5,1,707.36,2935.9,0.0
2022-01-01 23:00,2022-01-01,23,5,1,618.05,2815.6,0.0
2022-01-02 00:00,2022-01-02,0,6,1,424.48,2630.2,0.0
2022-01-02 01:00,2022-01-02,1,6,1,391.09,2410.5,0.0
2022-01-02 02:00,2022-01-02,2,6,1,364.17,2273.7,0.0
2022-01-02 03:00,2022-01-02,3,6,1,259.83,2086.8,0.0
2022-01-02 04:00,2022-01-02,4,6,1,219.82,2060.9,0.0
2022-01-02 05:00,2022-01-02,5,6,1,252.62,1974.1,0.0
2022-01-02 06:00,2022-01-02,6,6,1,256.71,1949.5,0.0
2022-01-02 07:00,2022-01-02,7,6,1,310.85,1936.9,0.0
2022-01-02 08:00,2022-01-02,8,6,1,364.02,1755.5,0.0
2022-01-02 09:00,2022-01-02,9,6,1,446.26,1578.2,3.3
2022-01-02 10:00,2022-01-02,10,6,1,521.22,1418.5,11.8
2022-01-02 11:00,2022-01-02,11,6,1,492.74,1311.4,21.8
2022-01-02 12:00,2022-01-02,12,6,1,479.95,1164.9,28.1
2022-01-02 13:00,2022-01-02,13,6,1,349.22,1082.8,18.0
2022-01-02 14:00,2022-01-02,14,6,1,364.83,899.2,10.2
2022-01-02 15:00,2022-01-02,15,6,1,557.66,983.9,1.8
2022-01-02 16:00,2022-01-02,16,6,1,655.53,1147.0,0.0
2022-01-02 17:00,2022-01-02,17,6,1,709.44,1476.0,0.0
2022-01-02 18:00,2022-01-02,18,6,1,653.22,1769.7,0.0
2022-01-02 19:00,2022-01-02,19,6,1,530.0,2035.6,0.0
2022-01-02 20:00,2022-01-02,20,6,1,402.46,2195.0,0.0
2022-01-02 21:00,2022-01-02,21,6,1,343.27,2255.5,0.0
2022-01-02 22:00,2022-01-02,22,6,1,344.24,2202.8,0.0
2022-01-02 23:00,2022-01-02,23,6,1,244.88,2062.8,0.0
2022-01-03 00:00,2022-01-03,0,0,0,98.16,1873.1,0.0
2022-01-03 01:00,2022-01-03,1,0,0,148.14,1802.1,0.0
2022-01-03 02:00,2022-01-03,2,0,0,147.76,1921.5,0.0
2022-01-03 03:00,2022-01-03,3,0,0,98.46,2057.3,0.0
2022-01-03 04:00,2022-01-03,4,0,0,0.74,2308.1,0.0
2022-01-03 05:00,2022-01-03,5,0,0,2.38,2528.1,0.0
2022-01-03 06:00,2022-01-03,6,0,0,279.24,2872.1,0.0
2022-01-03 07:00,2022-01-03,7,0,0,660.06,3223.9,0.0
2022-01-03 08:00,2022-01-03,8,0,0,914.17,3455.1,0.1
2022-01-03 09:00,2022-01-03,9,0,0,819.28,3490.9,6.5
2022-01-03 10:00,2022-01-03,10,0,0,694.42,3471.0,23.3
2022-01-03 11:00,2022-01-03,11,0,0,674.71,3640.0,39.2
2022-01-03 12:00,2022-01-03,12,0,0,612.54,3789.5,49.1
2022-01-03 13:00,2022-01-03,13,0,0,601.61,3657.0,39.9
2022-01-03 14:00,2022-01-03,14,0,0,602.28,3626.7,18.2
2022-01-03 15:00,2022-01-03,15,0,0,729.15,3778.0,3.0
2022-01-03 16:00,2022-01-03,16,0,0,896.47,3693.2,0.0
2022-01-03 17:00,2022-01-03,17,0,0,1037.91,3303.8,0.0
2022-01-03 18:00,2022-01-03,18,0,0,1001.62,2725.2,0.0
2022-01-03 19:00,2022-01-03,19,0,0,853.86,2261.9,0.0
2022-01-03 20:00,2022-01-03,20,0,0,875.35,1938.9,0.0
2022-01-03 21:00,2022-01-03,21,0,0,713.53,1728.2,0.0
2022-01-03 22:00,2022-01-03,22,0,0,785.89,1571.7,0.0
2022-01-03 23:00,2022-01-03,23,0,0,708.4,1503.9,0.0
2022-01-04 00:00,2022-01-04,0,1,0,771.27,1340.0,0.0
2022-01-04 01:00,2022-01-04,1,1,0,805.26,1299.8,0.0
2022-01-04 02:00,2022-01-04,2,1,0,787.78,1349.5,0.0
2022-01-04 03:00,2022-01-04,3,1,0,769.11,1462.5,0.0
2022-01-04 04:00,2022-01-04,4,1,0,763.91,1512.0,0.0
2022-01-04 05:00,2022-01-04,5,1,0,849.59,1575.1,0.0
2022-01-04 06:00,2022-01-04,6,1,0,968.14,1759.6,0.0
2022-01-04 07:00,2022-01-04,7,1,0,1358.39,2035.2,0.0
2022-01-04 08:00,2022-01-04,8,1,0,1298.66,2315.6,0.1
2022-01-04 09:00,2022-01-04,9,1,0,1276.5,2371.0,13.0
2022-01-04 10:00,2022-01-04,10,1,0,1281.41,2349.4,41.7
2022-01-04 11:00,2022-01-04,11,1,0,1224.36,2441.7,77.1
2022-01-04 12:00,2022-01-04,12,1,0,1189.85,2508.3,89.6
2022-01-04 13:00,2022-01-04,13,1,0,1157.94,2455.2,80.1
2022-01-04 14:00,2022-01-04,14,1,0,1154.0,2496.0,47.0
2022-01-04 15:00,2022-01-04,15,1,0,1178.47,2466.7,13.6
2022-01-04 16:00,2022-01-04,16,1,0,1200.04,2528.5,0.1
2022-01-04 17:00,2022-01-04,17,1,0,1247.72,2728.2,0.0
2022-01-04 18:00,2022-01-04,18,1,0,1223.17,2836.2,0.0
2022-01-04 19:00,2022-01-04,19,1,0,1144.48,2850.2,0.0
2022-01-04 20:00,2022-01-04,20,1,0,1091.9,2927.8,0.0
2022-01-04 21:00,2022-01-04,21,1,0,957.58,2906.5,0.0
2022-01-04 22:00,2022-01-04,22,1,0,840.14,3023.4,0.0
2022-01-04 23:00,2022-01-04,23,1,0,625.57,3178.0,0.0
2022-01-05 00:00,2022-01-05,0,2,0,698.16,3211.8,0.0
2022-01-05 01:00,2022-01-05,1,2,0,384.44,3152.2,0.0
2022-01-05 02:00,2022-01-05,2,2,0,372.17,3111.7,0.0
2022-01-05 03:00,2022-01-05,3,2,0,368.38,2924.6,0.0
2022-01-05 04:00,2022-01-05,4,2,0,372.4,2774.6,0.0
2022-01-05 05:00,2022-01-05,5,2,0,694.59,2613.7,0.0
2022-01-05 06:00,2022-01-05,6,2,0,737.5,2484.9,0.0
2022-01-05 07:00,2022-01-05,7,2,0,752.3,2477.1,0.0
2022-01-05 08:00,2022-01-05,8,2,0,963.6,2381.1,0.1
2022-01-05 09:00,2022-01-05,9,2,0,900.61,2283.0,10.2
2022-01-05 10:00,2022-01-05,10,2,0,1004.43,2316.4,37.3
2022-01-05 11:00,2022-01-05,11,2,0,966.8,2469.5,66.5
2022-01-05 12:00,2022-01-05,12,2,0,981.53,2583.1,77.8
2022-01-05 13:00,2022-01-05,13,2,0,971.86,2484.3,67.9
2022-01-05 14:00,2022-01-05,14,2,0,902.84,2232.4,44.0
2022-01-05 15:00,2022-01-05,15,2,0,910.5,2124.2,13.9
2022-01-05 16:00,2022-01-05,16,2,0,1021.02,2235.2,0.1
2022-01-05 17:00,2022-01-05,17,2,0,1101.42,2339.5,0.0
2022-01-05 18:00,2022-01-05,18,2,0,1040.36,2255.1,0.0
2022-01-05 19:00,2022-01-05,19,2,0,1009.64,1986.8,0.0
2022-01-05 20:00,2022-01-05,20,2,0,891.98,1866.0,0.0
2022-01-05 21:00,2022-01-05,21,2,0,729.54,1750.8,0.0
2022-01-05 22:00,2022-01-05,22,2,0,882.91,1766.8,0.0
2022-01-05 23:00,2022-01-05,23,2,0,741.37,1765.7,0.0
2022-01-06 00:00,2022-01-06,0,3,0,742.74,2127.5,0.0
2022-01-06 01:00,2022-01-06,1,3,0,753.68,1979.0,0.0
2022-01-06 02:00,2022-01-06,2,3,0,818.32,1824.3,0.0
2022-01-06 03:00,2022-01-06,3,3,0,829.78,1555.8,0.0
