date,close
2024-01-02,55.64
2024-01-03,55.77
2024-01-04,55.58
2024-01-05,55.50
2024-01-08,55.91
2024-01-09,55.81
2024-01-10,55.99
2024-01-11,55.63
2024-01-12,56.17
2024-01-16,55.80
2024-01-17,55.80
2024-01-18,55.96
2024-01-19,55.65
2024-01-22,55.41
2024-01-23,55.67
2024-01-24,54.79
2024-01-25,55.03
2024-01-26,55.22
2024-01-29,55.56
2024-01-30,55.71
2024-01-31,55.33
2024-02-01,56.72
2024-02-02,56.31
2024-02-05,55.84
2024-02-06,55.75
2024-02-07,55.80
2024-02-08,55.65
2024-02-09,55.40
2024-02-12,55.53
2024-02-13,55.20
2024-02-14,55.15
2024-02-15,55.25
2024-02-16,55.24
2024-02-20,56.46
2024-02-21,56.96
2024-02-22,56.88
2024-02-23,56.92
2024-02-26,56.47
2024-02-27,56.12
2024-02-28,56.18
2024-02-29,55.83
2024-03-01,55.37
2024-03-04,55.63
2024-03-05,55.36
2024-03-06,55.39
2024-03-07,55.29
2024-03-08,55.36
2024-03-11,56.03
2024-03-12,56.27
2024-03-13,56.85
2024-03-14,56.72
2024-03-15,56.14
2024-03-18,56.38
2024-03-19,56.47
2024-03-20,56.96
2024-03-21,56.69
2024-03-22,56.71
2024-03-25,56.63
2024-03-26,56.76
2024-03-27,57.22
2024-03-28,57.36
2024-04-01,56.89
2024-04-02,56.39
2024-04-03,56.09
2024-04-04,55.60
2024-04-05,55.79
2024-04-08,55.57
2024-04-09,55.99
2024-04-10,55.24
2024-04-11,55.36
2024-04-12,54.64
2024-04-15,54.51
2024-04-16,54.43
2024-04-17,54.86
2024-04-18,55.23
2024-04-19,56.41
2024-04-22,56.77
2024-04-23,56.85
2024-04-24,57.71
2024-04-25,57.88
2024-04-26,57.88
2024-04-29,58.17
2024-04-30,57.91
2024-05-01,58.06
2024-05-02,58.12
2024-05-03,58.29
2024-05-06,58.46
2024-05-07,58.71
2024-05-08,58.93
2024-05-09,58.95
2024-05-10,59.31
2024-05-13,59.61
2024-05-14,59.16
2024-05-15,59.19
2024-05-16,59.37
2024-05-17,59.09
2024-05-20,58.66
2024-05-21,58.98
2024-05-22,59.07
2024-05-23,58.21
2024-05-24,58.13
2024-05-28,57.96
2024-05-29,57.85
2024-05-30,58.10
2024-05-31,59.00
2024-06-03,59.00
2024-06-04,59.95
2024-06-05,59.93
2024-06-06,60.14
2024-06-07,59.92
2024-06-10,59.62
2024-06-11,59.58
2024-06-12,58.95
2024-06-13,59.06
2024-06-14,59.10
2024-06-17,59.17
2024-06-18,59.17
2024-06-20,58.75
2024-06-21,59.31
2024-06-24,60.44
2024-06-25,60.32
2024-06-26,60.52
2024-06-27,60.38
2024-06-28,60.14
2024-07-01,59.79
2024-07-02,59.67
2024-07-03,59.84
2024-07-05,60.24
2024-07-08,59.49
2024-07-09,59.23
2024-07-10,59.36
2024-07-11,59.62
2024-07-12,60.19
2024-07-15,59.91
2024-07-16,60.72
2024-07-17,61.61
2024-07-18,61.59
2024-07-19,61.69
2024-07-22,61.20
2024-07-23,61.38
2024-07-24,62.18
2024-07-25,62.42
2024-07-26,63.35
2024-07-29,63.14
2024-07-30,63.95
2024-07-31,63.06
2024-08-01,64.21
2024-08-02,65.50
2024-08-05,64.34
2024-08-06,64.30
2024-08-07,64.68
2024-08-08,64.94
2024-08-09,64.89
2024-08-12,64.41
2024-08-13,64.68
2024-08-14,64.80
2024-08-15,64.86
2024-08-16,65.36
2024-08-19,65.17
2024-08-20,65.55
2024-08-21,65.73
2024-08-22,65.50
2024-08-23,65.94
2024-08-26,66.93
2024-08-27,67.56
2024-08-28,67.79
2024-08-29,68.07
2024-08-30,68.47
2024-09-03,68.98
2024-09-04,68.56
2024-09-05,67.24
2024-09-06,67.22
2024-09-09,67.89
2024-09-10,67.60
2024-09-11,67.16
2024-09-12,67.30
2024-09-13,67.93
2024-09-16,68.59
2024-09-17,68.30
2024-09-18,68.26
2024-09-19,67.18
2024-09-20,68.15
2024-09-23,68.24
2024-09-24,67.86
2024-09-25,67.97
2024-09-26,67.92
2024-09-27,68.29
2024-09-30,68.36
2024-10-01,68.22
2024-10-02,67.55
2024-10-03,67.09
2024-10-04,66.75
2024-10-07,65.65
2024-10-08,65.81
2024-10-09,66.18
2024-10-10,65.88
2024-10-11,66.18
2024-10-14,66.91
2024-10-15,66.91
2024-10-16,67.13
2024-10-17,66.50
2024-10-18,67.01
2024-10-21,66.07
2024-10-22,66.07
2024-10-23,64.70
2024-10-24,64.02
2024-10-25,63.66
2024-10-28,63.42
2024-10-29,62.37
2024-10-30,62.71
2024-10-31,62.13
2024-11-01,61.84
2024-11-04,61.94
2024-11-05,62.19
2024-11-06,60.60
2024-11-07,60.56
2024-11-08,60.81
2024-11-11,60.27
2024-11-12,60.12
2024-11-13,59.93
2024-11-14,59.50
2024-11-15,58.73
2024-11-18,58.85
2024-11-19,59.54
2024-11-20,59.92
2024-11-21,60.66
2024-11-22,60.81
2024-11-25,61.24
2024-11-26,61.41
2024-11-27,61.29
2024-11-29,61.42
2024-12-02,61.01
2024-12-03,60.89
2024-12-04,59.63
2024-12-05,60.31
2024-12-06,59.94
2024-12-09,60.00
2024-12-10,60.30
2024-12-11,60.04
2024-12-12,61.19
2024-12-13,60.50
2024-12-16,59.96
2024-12-17,60.77
2024-12-18,60.24
2024-12-19,59.86
2024-12-20,59.96
2024-12-23,59.79
2024-12-24,60.23
2024-12-26,59.97
2024-12-27,59.86
2024-12-30,59.46
2024-12-31,59.68
